[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 1064038 status 429
[04:43:51] ⚠ 1015840 status 429
[04:43:51] ⚠ 9132 status 429
[04:43:51] ⚠ 4050 status 429
[04:43:51] ⚠ 7137 status 429
[04:43:51] ⚠ 1015442 status 429
[04:43:51] ⚠ 1037514 status 429
[04:43:51] ⚠ 1016381 status 429
[04:43:51] ⚠ 1041496 status 429
[04:43:51] ⚠ 1036772 status 429
[04:43:51] ⚠ 1041473 status 429
[04:43:51] ⚠ 18460 status 429
[04:43:51] ⚠ 27219 status 429
[04:43:51] ⚠ 51499 status 429
[04:43:51] ⚠ 7618 status 429
[04:43:51] ⚠ 7679 status 429
[04:43:51] ⚠ 1020453 status 429
[04:43:51] ⚠ 5145 status 429
[04:43:51] ⚠ 16522 status 429
[04:43:51] ⚠ 1041242 status 429
[04:43:51] ⚠ 4051 status 429
[04:43:51] ⚠ 1041458 status 429
[04:43:51] ⚠ 1041393 status 429
[04:43:51] ⚠ 1037510 status 429
[04:43:51] ⚠ 1020547 status 429
[04:43:51] ⚠ 1084553 status 429
[04:43:51] ⚠ 1075745 status 429
[04:43:51] ⚠ 1015286 status 429
[04:43:51] ⚠ 18823 status 429
[04:43:51] ⚠ 1037531 status 429
[04:43:51] ⚠ 3965 status 429
[04:43:51] ⚠ 9384 status 429
[04:43:51] ⚠ 9174 status 429
[04:43:51] ⚠ 1032461 status 429
[04:43:51] ⚠ 25571 status 429
[04:43:51] ⚠ 1039840 status 429
[04:43:51] ⚠ 55466 status 429
[04:43:51] ⚠ 25045 status 429
[04:43:51] ⚠ 1032460 status 429
[04:43:51] ⚠ 7232 status 429
[04:43:51] ⚠ 9194 status 429
[04:43:51] ⚠ 1037527 status 429
[04:43:51] ⚠ 26281 status 429
[04:43:51] ⚠ 1037491 status 429
[04:43:51] ⚠ 1052503 status 429
[04:43:51] ⚠ 55853 status 429
[04:43:51] ⚠ 1029684 status 429
[04:43:51] ⚠ 30784 status 429
[04:43:51] ⚠ 1016383 status 429
[04:43:51] ⚠ 9246 status 429
[04:43:51] ⚠ 1037503 status 429
[04:43:51] ⚠ 25181 status 429
[04:43:51] ⚠ 18164 status 429
[04:43:51] ⚠ 1015975 status 429
[04:43:51] ⚠ 19513 status 429
[04:43:51] ⚠ 5182 status 429
[04:43:51] ⚠ 1041239 status 429
[04:43:51] ⚠ 1035744 status 429
[04:43:51] ⚠ 1007282 status 429
[04:43:51] ⚠ 1037517 status 429
[04:43:51] ⚠ 62250 status 429
[04:43:51] ⚠ 1037516 status 429
[04:43:51] ⚠ 3896 status 429
[04:43:51] ⚠ 9136 status 429
[04:43:51] ⚠ 1012280 status 429
[04:43:51] ⚠ 1088811 status 429
[04:43:51] ⚠ 1037521 status 429
[04:43:51] ⚠ 1032901 status 429
[04:43:51] ⚠ 1042605 status 429
[04:43:51] ⚠ 1041804 status 429
[04:43:51] ⚠ 1040181 status 429
[04:43:51] ⚠ 7293 status 429
[04:43:51] ⚠ 5220 status 429
[04:43:51] ⚠ 5150 status 429
[04:43:51] ⚠ 9285 status 429
[04:43:51] ⚠ 1041199 status 429
[04:43:51] ⚠ 16523 status 429
[04:43:51] ⚠ 4889 status 429
[04:43:51] ⚠ 1047917 status 429
[04:43:51] ⚠ 1056892 status 429
[04:43:51] ⚠ 6119 status 429
[04:43:51] ⚠ 1036383 status 429
[04:43:51] ⚠ 1084822 status 429
[04:43:51] ⚠ 4919 status 429
[04:43:51] ⚠ 1061843 status 429
[04:43:51] ⚠ 1052727 status 429
[04:43:51] ⚠ 4910 status 429
[04:43:51] ⚠ 1003767 status 429
[04:43:51] ⚠ 1050804 status 429
[04:43:51] ⚠ 1041683 status 429
[04:43:51] ⚠ 7537 status 429
